feature,coefficient,absolute_importance
avg_tone,-1.5150212074518272,1.5150212074518272
avg_goldstein,0.9573211532289017,0.9573211532289017
tone_change,0.4626665118087952,0.4626665118087952
goldstein_change,-0.33691402161081757,0.33691402161081757
risk_score,0.15734747173696093,0.15734747173696093
risk_change,0.0874385610062252,0.0874385610062252
event_count,-0.00344387129400189,0.00344387129400189
event_count_change,-0.00039294080774117564,0.00039294080774117564
total_mentions,9.261451053776959e-05,9.261451053776959e-05
