feature,coefficient,absolute_importance
avg_goldstein,1.0023338241179096,1.0023338241179096
risk_score,-0.9134123418198966,0.9134123418198966
event_count_change,-0.8544345394916883,0.8544345394916883
tone_change,0.4346667530486195,0.4346667530486195
goldstein_change,-0.20551100895451688,0.20551100895451688
total_mentions,0.1344643231059161,0.1344643231059161
avg_tone,0.0889996389294387,0.0889996389294387
risk_change,0.025753428628135323,0.025753428628135323
event_count,0.0020138696891665916,0.0020138696891665916
