date,event_count,avg_goldstein,avg_tone,total_mentions,risk_score,goldstein_change,tone_change,event_count_change,risk_change,risk_increase_tomorrow
2026-07-03,26,-5.369230769230769,-2.761557134670718,190,71.63080657703374,-0.3574660633484159,2.006132469757346,9.0,-2.939866749469445,1
2026-07-04,40,-5.67,-3.4796175647321315,183,73.96923512946427,-0.3007692307692311,-0.7180604300614135,14.0,2.3384285524305284,0
2026-07-05,26,-2.603846153846154,-2.73059377323619,98,63.272726008010835,3.066153846153846,0.7490237914959414,-14.0,-10.696509121453431,0
2026-07-06,5,1.16,-3.0329030193360937,46,52.585806038672175,3.7638461538461536,-0.30230924609990373,-21.0,-10.68691996933866,1
2026-07-07,6,0.0,-4.55042794436744,56,59.100855888734884,-1.16,-1.5175249250313465,1.0,6.515049850062709,1
2026-07-08,14,-1.585714285714286,-4.951605937649018,56,64.6603547324409,-1.585714285714286,-0.40117799328157755,8.0,5.5594988437060096,0
2026-07-09,21,0.0523809523809523,-4.442032228908748,192,58.72692160067464,1.6380952380952383,0.5095737087402696,7.0,-5.93343313176625,1
2026-07-10,17,-3.1,-4.054631270519093,76,67.40926254103819,-3.1523809523809523,0.38740095838965516,-4.0,8.682340940363545,0
2026-07-11,10,-2.35,-3.848519741103396,29,64.74703948220679,0.75,0.206111529415697,-7.0,-2.662223058831401,0
2026-07-12,101,-3.221782178217821,-2.4005563981907883,986,64.46645933103505,-0.871782178217821,1.4479633429126078,91.0,-0.2805801511717334,0
2026-07-13,86,-1.6953488372093024,-2.328552479326557,276,59.74315147028102,1.5264333410085187,0.07200391886423141,-15.0,-4.7233078607540335,1
2026-07-14,34,-2.611764705882353,-2.438362520106452,188,62.71201915785996,-0.9164158686730506,-0.10981004077989498,-52.0,2.9688676875789426,0
2026-07-15,16,3.43125,-4.47332350598632,185,48.65289701197264,6.043014705882353,-2.0349609858798683,-18.0,-14.059122145887322,1
2026-07-16,16,-6.375,-3.0361049718278155,222,75.19720994365564,-9.80625,1.4372185341585046,0.0,26.544312931682995,1
2026-07-17,12,-3.8,-10.018172024560224,72,81.4,2.575,-6.9820670527324085,-4.0,6.202790056344369,0
2026-07-18,17,-3.235294117647059,-4.01437264801455,288,67.73462764897027,0.564705882352941,6.003799376545674,5.0,-13.665372351029731,0
2026-07-19,34,-0.5941176470588235,-1.2558752063729492,201,54.294103353922374,2.6411764705882352,2.758497441641601,17.0,-13.4405242950479,1
