url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://aceh.tribunnews.com/news/1038911/trump-ingin-kuasai-selat-hormuz-iran-balik-tegaskan-jalur-strategis-itu-masih-di-bawah-kendalinya,,"Trump Ingin Kuasai Selat Hormuz , Iran Balik Tegaskan Jalur Strategis Itu Masih di Bawah Kendalinya",20260815T073000Z,https://asset.tribunnews.com/8nRNZV_54me6-CpLuZrxWmmDoxY=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/aceh/foto/bank/originals/Presiden-Amerika-Serikat-AS-Donald-Trump-dalam-pidato-Selasa-2422026.jpg,aceh.tribunnews.com,Indonesian,Indonesia
https://www.tribunnews.com/internasional/7871035/as-bangun-jalur-pelayaran-rahasia-via-selat-hormuz-jutaan-barel-minyak-tinggalkan-teluk-setiap-hari,https://m.tribunnews.com/internasional/7871035/as-bangun-jalur-pelayaran-rahasia-via-selat-hormuz-jutaan-barel-minyak-tinggalkan-teluk-setiap-hari,"AS Bangun Jalur Pelayaran Rahasia via Selat Hormuz , Jutaan Barel Minyak Tinggalkan Teluk Setiap Hari",20260820T020000Z,https://asset.tribunnews.com/4dqXV0imXlVdSY5oakBxBF4lle4=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/tribunnews/foto/bank/originals/Kapal-tanker-China-di-Selat-Hormuz.jpg,tribunnews.com,Indonesian,Indonesia
https://siap.viva.co.id/news/27402-trump-klaim-kuasai-selat-hormuz-jawaban-iran-justru-bikin-situasi-makin-tegang,https://siap.viva.co.id/amp/news/27402-trump-klaim-kuasai-selat-hormuz-jawaban-iran-justru-bikin-situasi-makin-tegang,"Trump Klaim Kuasai Selat Hormuz , Jawaban Iran Justru Bikin Situasi Makin Tegang",20260814T050000Z,https://thumb.viva.id/vivasiap/665x374/2026/08/14/6a7e94a488c8b-potret-ilustrasi-konflik-bersenjata-di-selat-hormuz_siap.jpg,siap.viva.co.id,Indonesian,Indonesia
https://international.sindonews.com/read/1740449/42/trump-unggah-peta-selat-hormuz-wilayah-baru-as-ini-reaksi-iran-1787058517,https://international.sindonews.com/newsread/1740449/42/trump-unggah-peta-selat-hormuz-wilayah-baru-as-ini-reaksi-iran-1787058517,"Trump Unggah Peta Selat Hormuz Wilayah Baru AS , Ini Reaksi Iran",20260818T154500Z,https://pict.sindonews.com/dyn/850/pena/news/2026/08/18/42/1740449/trump-unggah-peta-selat-hormuz-wilayah-baru-as-ini-reaksi-iran-xav.jpg,international.sindonews.com,Indonesian,Indonesia
http://arabic.people.com.cn/n3/2026/0814/c31663-20488661.html,,وزير الخارجية الإيراني يحذّر الولايات المتحدة من  سوء تقدير الوضع  بشأن مضيق هرمز,20260814T061500Z,,arabic.people.com.cn,Arabic,China
https://www.kompas.com/tren/read/2026/08/16/092900865/respons-iran-usai-trump-nyatakan-selat-hormuz-segera-jadi-wilayah-as,https://amp.kompas.com/tren/read/2026/08/16/092900865/respons-iran-usai-trump-nyatakan-selat-hormuz-segera-jadi-wilayah-as,Respons Iran Usai Trump Nyatakan Selat Hormuz Segera Jadi Wilayah AS,20260816T030000Z,"https://asset.kompas.com/crops/iKFTcsPVw54J0ck3BRg9d2Eo4ys=/0x0:2000x1333/1200x675/filters:watermark(data/photo/2026/01/30/697c818d0ca91.png,0,-0,1)/data/photo/2026/06/17/6a325eac6b01b.jpg",kompas.com,Indonesian,Indonesia
https://www.kompas.com/global/read/2026/08/16/164843070/iran-minta-trump-akui-kekalahan-tantang-presiden-as-soal-kendali-selat,,"Iran Minta Trump Akui Kekalahan , Tantang Presiden AS soal Kendali Selat Hormuz",20260816T101500Z,"https://asset.kompas.com/crops/xOTZUvh30WcKQmoYRNJRTLzoMZ8=/0x0:2000x1333/1200x675/filters:watermark(data/photo/2026/01/30/697c81ac46b81.png,0,-0,1)/data/photo/2026/06/05/6a22168444ab0.jpg",kompas.com,Indonesian,Indonesia
https://jambi.tribunnews.com/news/1202908/iran-gertak-trump-selat-hormuz-tak-bisa-direbut-lewat-cuitan-dan-kapal-induk,,Iran Gertak Trump : Selat Hormuz Tak Bisa Direbut Lewat Cuitan dan Kapal Induk,20260817T070000Z,https://asset.tribunnews.com/swmfqJMIMU-0B4G2zB2wK5HoDk8=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/jambi/foto/bank/originals/20260817-Kolase-foto-Mojtaba-Khamenei-Iran-Donald-Trump-AS-dan-Selat-Hormuz.jpg,jambi.tribunnews.com,Indonesian,Indonesia
https://www.tribunnews.com/internasional/7870357/negosiator-utama-iran-tegaskan-selat-hormuz-tak-akan-dibuka-tunggu-as-penuhi-tuntutan-teheran,https://m.tribunnews.com/internasional/7870357/negosiator-utama-iran-tegaskan-selat-hormuz-tak-akan-dibuka-tunggu-as-penuhi-tuntutan-teheran,"Negosiator Utama Iran Tegaskan Selat Hormuz Tak Akan Dibuka , Tunggu AS Penuhi Tuntutan Teheran",20260818T123000Z,https://asset.tribunnews.com/KzJj9qrAaPsAG_w7Vl3UkCpeLVM=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/tribunnews/foto/bank/originals/Kapal-Perang-Amerika-di-Selat-Hormuz.jpg,tribunnews.com,Indonesian,Indonesia
https://jogja.tribunnews.com/internasional/1221094/trump-berulah-lagi-labeli-selat-hormuz-sebagai-wilayah-baru-as,,"Trump Berulah Lagi , Labeli Selat Hormuz Sebagai Wilayah Baru AS",20260819T010000Z,https://asset.tribunnews.com/a_yUf3n0OoC9so7-kRGdmb1_YUU=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/jogja/foto/bank/originals/Trump-Sebut-Selat-Hormuz-Wilayah-Baru-AS.jpg,jogja.tribunnews.com,Indonesian,Indonesia
